agntosf,ambigagn,composite,defagn,defliner,defseyf,defstarform,galname,sftoagn,sftoagn1,sftoagn2
False,False,False,False,False,False,True,ECO10566,False,False,False
False,False,False,False,False,False,True,ECO08626,False,False,False
False,False,False,False,False,False,True,ECO05550,False,False,False
False,False,False,False,False,False,True,ECO07933,False,False,False
False,False,False,False,False,False,True,ECO06529,False,False,False
False,False,False,False,False,False,True,ECO03696,False,False,False
False,False,False,False,False,False,True,ECO11771,False,False,False
False,False,False,False,False,False,True,ECO12443,False,False,False
False,False,False,False,False,False,True,ECO06636,False,False,False
False,False,False,False,False,False,True,ECO12201,False,False,False
False,False,True,False,False,False,False,ECO10626,False,False,False
False,False,True,False,False,False,False,ECO04678,False,False,False
False,False,False,False,False,False,True,ECO04512,False,False,False
False,False,False,False,False,False,True,ECO06082,False,False,False
False,False,False,False,False,False,True,ECO09005,False,False,False
False,False,False,False,False,False,True,ECO10684,False,False,False
False,False,False,False,False,False,True,ECO00615,False,False,False
False,False,False,False,False,False,True,ECO03057,False,False,False
False,False,False,True,True,False,False,ECO09934,False,False,False
False,False,False,False,False,False,True,ECO05682,False,False,False
False,False,False,False,False,False,True,ECO08605,False,False,False
False,False,False,False,False,False,True,ECO12354,False,False,False
False,False,False,False,False,False,True,ECO08971,False,False,False
False,False,False,False,False,False,True,ECO05512,False,False,False
False,False,False,False,False,False,True,ECO10294,False,False,False
False,False,False,False,False,False,True,ECO03606,False,False,False
False,False,False,False,False,False,True,ECO10694,False,False,False
False,False,False,False,False,False,False,ECO07452,True,False,True
False,False,False,False,False,False,True,ECO05380,False,False,False
False,False,False,False,False,False,True,ECO07252,False,False,False
False,False,True,False,False,False,False,ECO12103,False,False,False
False,False,False,False,False,False,True,ECO02371,False,False,False
False,False,False,False,False,False,True,ECO12136,False,False,False
False,False,True,False,False,False,False,ECO07654,False,False,False
False,False,False,False,False,False,True,ECO02169,False,False,False
False,False,False,False,False,False,True,ECO05947,False,False,False
False,False,False,False,False,False,True,ECO03183,False,False,False
False,False,False,False,False,False,True,ECO00954,False,False,False
False,False,False,False,False,False,True,ECO11705,False,False,False
False,False,False,False,False,False,True,ECO04055,False,False,False
False,False,False,False,False,False,True,ECO02376,False,False,False
False,False,False,False,False,False,True,ECO08315,False,False,False
False,False,True,False,False,False,False,ECO03610,False,False,False
False,False,False,False,False,False,True,ECO02504,False,False,False
False,False,False,False,False,False,False,ECO00220,True,False,True
False,False,False,False,False,False,True,ECO06954,False,False,False
False,False,True,False,False,False,False,ECO12505,False,False,False
False,False,False,False,False,False,True,ECO08790,False,False,False
False,False,False,True,False,True,False,ECO02455,False,False,False
False,False,False,False,False,False,True,ECO03208,False,False,False
False,False,False,False,False,False,True,ECO02387,False,False,False
False,False,False,False,False,False,True,ECO08299,False,False,False
False,False,False,False,False,False,True,ECO02476,False,False,False
False,False,False,False,False,False,True,ECO04298,False,False,False
False,False,False,False,False,False,True,ECO08843,False,False,False
False,False,False,False,False,False,True,ECO00989,False,False,False
False,False,False,True,False,True,False,ECO09354,False,False,False
False,False,False,False,False,False,True,ECO05878,False,False,False
False,False,False,False,False,False,True,ECO05031,False,False,False
False,False,False,False,False,False,True,ECO06712,False,False,False
False,False,False,False,False,False,True,ECO03738,False,False,False
False,False,False,False,False,False,True,ECO03806,False,False,False
False,False,True,False,False,False,False,ECO10554,False,False,False
