name,e_bv_sfd,spectofiber
ECO04868,0.04463101,0.7905599
ECO01005,0.05905534,0.910613
ECO05055,0.03826863,0.7567234
ECO06853,0.0086705,0.7088544
ECO10282,0.02833083,0.7403622
ECO04648,0.03971916,0.7200336
ECO00718,0.01895987,0.7100893
ECO13172,0.0134551,0.7113233
ECO13415,0.0521611,0.7057338
ECO05563,0.04685609,0.7685068
ECO07280,0.01984315,0.747562
ECO07198,0.02243695,0.7902049
ECO04076,0.03186366,0.7530194
ECO08632,0.03517862,0.7197911
ECO05080,0.02156545,0.8850684
ECO05079,0.02272909,0.7818751
ECO11530,0.1105062,0.7287839
ECO05141,0.1105062,0.7287839
ECO12859,0.0286055,0.698622
ECO03141,0.03189359,0.7518601
ECO10461,0.03013131,0.6870767
ECO07974,0.04163362,0.7515814
ECO10529,0.02574644,0.7679098
ECO11380,0.01919695,0.7895144
ECO11758,0.02387231,0.7890683
ECO07158,0.02585769,0.7851047
ECO11880,0.03290456,0.8157784
ECO11382,0.04940052,0.8562152
ECO11023,0.01954912,0.7689824
ECO02676,0.03901505,0.7133358
ECO02717,0.02583247,0.7896559
ECO13533,0.05480635,0.7391183
ECO02706,0.04823462,0.7636282
ECO02713,0.02376146,0.7963524
ECO02711,0.02000708,0.7699672
ECO03391,0.0374991,0.7537081
ECO03396,0.01847729,0.7278526
ECO05735,0.01536798,0.7439933
ECO04208,0.02320595,0.7347042
ECO06761,0.02310081,0.775192
ECO05931,0.01379954,0.7418533
ECO12201,0.05470371,0.7231175
ECO08371,0.03489589,0.8063526
ECO06393,0.01289047,0.7719063
ECO02189,0.03839313,0.6906395
ECO06566,0.04020973,0.7773296
ECO02191,0.04086361,0.8050187
ECO06991,0.02785586,0.7962035
ECO13418,0.0107134,0.8061939
ECO07733,0.03217161,0.8955179
ECO05240,0.02060624,0.8157657
ECO04677,0.01564164,0.7770623
ECO12301,0.02756136,0.8648453
ECO05016,0.03831628,0.8140235
ECO04668,0.03485084,0.7901968
ECO07605,0.04143702,0.8023052
ECO01250,0.04181224,0.8432769
ECO10885,0.06406058,0.7325611
ECO10234,0.04655674,0.7710738
ECO10157,0.06381774,0.7236511
ECO07326,0.05852681,0.7497233
ECO10772,0.0353143,0.8337295
ECO10182,0.03363132,0.7751873
ECO05632,0.05348903,0.7643595
ECO04263,0.02617199,0.6726331
ECO10944,0.02732262,0.7766926
ECO13167,0.01774407,0.6953483
ECO04063,0.03087508,0.8105249
ECO10586,0.02587349,0.8065774
ECO08443,0.03215726,0.7776042
ECO05297,0.03004655,0.7359845
ECO08555,0.02377559,0.7657776
ECO11614,0.02256529,0.7353343
ECO03184,0.01911862,0.7606875
ECO03264,0.02329442,0.734738
ECO13599,0.01296252,0.7801604
ECO06655,0.01296252,0.7801604
ECO10069,0.02465934,0.7600766
ECO08396,0.02929022,0.751204
ECO09518,0.03668747,0.7568532
ECO05269,0.0169649,0.7624206
ECO05318,0.01244685,0.7496778
ECO05625,0.01759335,0.6854019
ECO04032,0.02400637,0.7549014
ECO04142,0.02763734,0.7610926
ECO10988,0.02612335,0.7529992
ECO08822,0.02599213,0.7424159
ECO05648,0.01649361,0.7520294
ECO09013,0.01690282,0.8200031
ECO11071,0.02568249,0.7999644
ECO01484,0.01603717,0.7377992
ECO12900,0.0379794,0.7781365
ECO05236,0.04038833,0.8435847
ECO10983,0.02613113,0.7736613
ECO10999,0.03345392,0.8256148
ECO07029,0.01711832,0.779609
ECO08726,0.01129608,0.7221372
ECO08752,0.009811603,0.7948973
ECO01934,0.01245603,0.7897269
ECO11587,0.009253211,0.7485092
ECO06110,0.007346187,0.7922079
ECO01910,0.0101105,0.815508
ECO06935,0.01117656,0.8163618
ECO11642,0.0119675,0.7752259
ECO06170,0.009552069,0.7471988
ECO13186,0.009943299,0.7322901
ECO12246,0.0111741,0.7743506
ECO06856,0.01123128,0.7304024
ECO00067,0.01820161,0.7693529
ECO11414,0.0369385,0.7450281
ECO07453,0.04566604,0.7929055
ECO09506,0.03929811,0.7646872
ECO02641,0.03170944,0.8103225
ECO06239,0.04217137,0.792152
ECO07433,0.05536517,0.7571086
ECO04965,0.03922066,0.7423867
ECO00020,0.02404245,0.7797731
ECO00704,0.03056699,0.7541512
ECO01242,0.02541574,0.7832874
ECO06636,0.00867452,0.75634
ECO10721,0.01690335,0.7528394
ECO09712,0.01116089,0.7783573
ECO10427,0.0119189,0.7429297
ECO00483,0.01527583,0.7384918
ECO07901,0.02472476,0.7068686
ECO04361,0.01475969,0.8405547
ECO04424,0.01245297,0.7185596
ECO10890,0.02004637,0.7772607
ECO05006,0.0207909,0.7357934
ECO09359,0.01743536,0.7243659
ECO04918,0.02200799,0.7981904
ECO04929,0.02765361,0.7246455
ECO11648,0.02653811,0.7227075
ECO13088,0.02864748,0.731984
ECO07938,0.02813897,0.7504795
ECO06284,0.027009,0.7897758
ECO04335,0.02325018,0.750372
ECO04930,0.0400416,0.7884796
ECO10831,0.05117474,0.6942258
ECO04367,0.05101036,0.7138674
ECO02497,0.05449131,0.719532
ECO07755,0.02223733,0.793686
ECO07851,0.03245318,0.7618457
ECO02986,0.06739122,0.7526747
ECO05741,0.05020467,0.7617909
ECO10788,0.03390378,0.7289643
ECO13544,0.02396209,0.7522287
ECO03370,0.02022253,0.7720986
ECO03600,0.0309796,0.7293797
ECO07831,0.03205882,0.7430762
ECO11715,0.02424897,0.7480264
ECO01891,0.02051851,0.7363974
ECO06318,0.01120869,0.7546211
ECO09320,0.01100134,0.753215
ECO06610,0.02151653,0.7370777
ECO09182,0.01483065,0.7412577
ECO00951,0.02055704,0.7777701
ECO00625,0.01803426,0.825253
ECO12287,0.02419167,0.7653626
ECO05702,0.01227991,0.7593023
ECO13355,0.01731689,0.7379449
ECO05263,0.0201362,0.7865041
ECO10955,0.0366762,0.7900103
ECO10565,0.03905015,0.8056206
ECO08898,0.03863557,0.7588766
ECO08088,0.03210481,0.7778636
ECO03603,0.03659723,0.8157457
ECO06328,0.009833841,0.7715982
ECO05566,0.01044818,0.7883319
ECO06772,0.01479529,0.7644655
ECO10471,0.02014572,0.7759795
ECO09913,0.0154935,0.7846466
ECO09886,0.01223062,0.6996282
ECO12136,0.02959291,0.7477825
ECO00284,0.02626645,0.7758052
ECO03901,0.02838968,0.8124712
ECO07315,0.02442071,0.7903045
ECO07371,0.03587579,0.7510125
ECO03615,0.0271125,0.7882106
ECO04695,0.03143713,0.7318118
ECO09949,0.01424034,0.7539551
ECO04844,0.01766931,0.7472615
ECO06548,0.01610105,0.7789083
ECO04843,0.01314365,0.7620291
ECO09924,0.02379868,0.742188
ECO10932,0.01590119,0.7818394
ECO09470,0.01415181,0.7748032
ECO00870,0.0118423,0.7713618
ECO06490,0.007022127,0.7590542
ECO09432,0.008643888,0.7627759
ECO09769,0.02665678,0.7583715
ECO03168,0.0184347,0.7931588
ECO10462,0.01100738,0.7538151
ECO07980,0.01271247,0.7482416
ECO10472,0.02748754,0.6905883
ECO03406,0.03921369,0.7553491
ECO05159,0.02456322,0.7444971
ECO10509,0.04506753,0.7206954
ECO11823,0.02376403,0.7208411
ECO09600,0.009127473,0.7712676
ECO09784,0.01381095,0.7347624
ECO06781,0.01280913,0.7723372
ECO01276,0.02003539,0.8399889
ECO13002,0.01906196,0.7506441
ECO12993,0.01907725,0.73971
ECO11534,0.02829561,0.7523879
ECO07967,0.03597834,0.7735339
ECO03042,0.03147858,0.7493981
ECO05461,0.01606544,0.7191865
ECO05444,0.01046951,0.7653075
ECO02028,0.007091515,0.755627
ECO09958,0.02106692,0.7753994
ECO10289,0.02125769,0.7897251
ECO11796,0.01067644,0.819857
ECO03941,0.01060254,0.7568614
ECO01599,0.01593294,0.7570043
ECO12192,0.04268589,0.7975334
ECO04866,0.02272149,0.7717986
ECO07019,0.009435341,0.776649
ECO04998,0.02692985,0.7652762
ECO05017,0.01792656,0.7402173
ECO06798,0.01872885,0.7978289
ECO11180,0.01777111,0.7496788
ECO02375,0.01765116,0.7850225
ECO02255,0.02188466,0.7655991
ECO13164,0.02355973,0.6894079
ECO02408,0.03157409,0.7693784
ECO07335,0.02549164,0.7302126
ECO06262,0.02598475,0.7525188
ECO01635,0.04167506,0.8013784
ECO11256,0.04379755,0.7847462
ECO00842,0.02850172,0.764232
ECO07204,0.03471638,0.7840298
ECO00273,0.02697083,0.8514757
ECO04318,0.03615034,0.7528182
ECO05084,0.07482047,0.7612316
ECO09281,0.02086324,0.7409818
ECO00748,0.02539161,0.7709922
ECO10527,0.02111826,0.768659
ECO10719,0.03157354,0.8568169
ECO11192,0.02014829,0.7946316
ECO07898,0.02511613,0.7982022
ECO00867,0.02398844,0.7725632
ECO10142,0.02825305,0.7421816
ECO11017,0.01862072,0.9805236
ECO08110,0.02423133,0.7623752
ECO05762,0.03330998,0.8352279
ECO05776,0.04966359,0.8031462
ECO03189,0.04290359,0.7878927
ECO01773,0.02203978,0.7623439
ECO06255,0.02622667,0.7707086
ECO02725,0.02131784,0.8191199
ECO04098,0.03077255,0.7916544
ECO04206,0.02090759,0.7207765
ECO07073,0.01575433,0.8211632
ECO03362,0.01713794,0.7404166
ECO00921,0.01090118,0.7991208
ECO06616,0.0213797,0.8462853
ECO06602,0.09086175,0.7315229
ECO00482,0.01071134,0.7668005
ECO13026,0.02292593,0.7892702
ECO12213,0.02502003,0.7585912
ECO11865,0.03744766,0.777632
ECO02062,0.05581056,0.7641422
ECO07372,0.03119733,0.7199746
ECO00924,0.02895292,0.8741174
ECO12837,0.02068009,0.7217444
ECO05040,0.1117379,0.8160712
ECO09072,0.04965078,0.7922629
ECO05530,0.05297349,0.7770787
ECO12771,0.03680452,0.7647401
ECO07698,0.02546669,0.8086498
ECO01345,0.01545052,0.8136037
ECO03869,0.02924807,0.7365018
ECO07585,0.03063168,0.7996738
ECO04306,0.02586553,0.6924667
ECO10266,0.02259791,0.7709251
ECO07702,0.02745253,0.7214546
ECO10121,0.02504481,0.7328079
ECO03589,0.02038212,0.8072907
ECO03536,0.02709138,0.7378426
ECO10957,0.03990407,0.7072669
ECO06224,0.03312708,0.7660497
ECO01062,0.02349347,0.7455858
ECO01422,0.04532218,0.7783721
ECO03321,0.01846675,0.7826739
ECO11341,0.03216142,0.7392147
ECO08289,0.02305059,0.732908
ECO08986,0.01918195,0.7510319
ECO08870,0.008892086,0.7785287
ECO12180,0.01076617,0.7176133
ECO08856,0.02230488,0.7926576
ECO11099,0.01424252,0.7200121
ECO08901,0.01356375,0.8134697
ECO05886,0.02102134,0.5910008
ECO11404,0.03186644,0.7400066
ECO01710,0.03154314,0.7235693
ECO08790,0.0205205,0.6969737
ECO09437,0.0166797,0.7543203
ECO05421,0.0137319,0.7621713
ECO12784,0.01156642,0.7244239
ECO08963,0.01666612,0.8050923
ECO03750,0.0192405,0.7589474
ECO06657,0.01113929,0.7830629
ECO08238,0.02701886,0.7107558
