agntosf,ambigagn,composite,defagn,defliner,defseyf,defstarform,galname,sftoagn
False,False,False,False,False,False,True,ECO01311,False
False,False,False,False,False,False,True,ECO01312,False
False,False,False,False,False,False,True,ECO01314,False
False,False,False,False,False,False,True,ECO01315,False
False,True,False,True,False,False,False,ECO01316,False
False,False,False,False,False,False,True,ECO01318,False
False,False,False,False,False,False,False,ECO01321,True
False,False,False,False,False,False,True,ECO01323,False
False,False,False,False,False,False,True,ECO01327,False
False,False,False,False,False,False,True,ECO01329,False
False,False,False,False,False,False,True,ECO01332,False
False,False,False,False,False,False,True,ECO01333,False
False,False,False,False,False,False,True,ECO01336,False
False,False,False,False,False,False,True,ECO01339,False
False,False,False,False,False,False,True,ECO01340,False
False,False,False,False,False,False,True,ECO01341,False
False,False,False,False,False,False,False,ECO01342,True
False,False,False,False,False,False,True,ECO01343,False
False,False,False,False,False,False,True,ECO01345,False
False,False,False,False,False,False,True,ECO01346,False
False,False,False,False,False,False,True,ECO01347,False
False,False,False,False,False,False,True,ECO01350,False
False,False,False,False,False,False,True,ECO01351,False
False,False,False,False,False,False,True,ECO01353,False
False,False,False,False,False,False,True,ECO01357,False
False,False,False,False,False,False,False,ECO01359,True
False,False,False,False,False,False,True,ECO01361,False
False,False,False,False,False,False,True,ECO01364,False
False,False,False,False,False,False,True,ECO01366,False
False,False,False,False,False,False,False,ECO01367,True
False,False,False,False,False,False,True,ECO01368,False
False,False,False,False,False,False,True,ECO01369,False
False,False,False,False,False,False,True,ECO01375,False
False,False,False,False,False,False,True,ECO01376,False
False,False,False,False,False,False,True,ECO01379,False
False,False,False,False,False,False,True,ECO01382,False
False,False,False,False,False,False,True,ECO01385,False
False,False,False,False,False,False,True,ECO01389,False
False,False,False,False,False,False,False,ECO01391,True
False,False,False,False,False,False,False,ECO01393,True
False,False,False,False,False,False,True,ECO01394,False
False,False,False,False,False,False,True,ECO01396,False
False,False,False,False,False,False,True,ECO01397,False
False,False,False,False,False,False,True,ECO01401,False
False,False,False,False,False,False,True,ECO01402,False
False,False,False,False,False,False,True,ECO01404,False
False,False,False,False,False,False,True,ECO01405,False
False,False,False,False,False,False,False,ECO01408,True
False,False,False,False,False,False,False,ECO01410,True
False,False,False,False,False,False,True,ECO01413,False
False,False,False,False,False,False,False,ECO01414,True
False,False,False,False,False,False,True,ECO01418,False
False,False,False,False,False,False,True,ECO01419,False
False,False,False,False,False,False,True,ECO01420,False
False,False,False,False,False,False,False,ECO01421,True
False,False,False,False,False,False,True,ECO01424,False
False,False,False,False,False,False,True,ECO01426,False
False,False,False,False,False,False,True,ECO01427,False
False,False,False,False,False,False,True,ECO01428,False
False,False,False,False,False,False,True,ECO01429,False
False,False,False,False,False,False,True,ECO01430,False
False,False,False,False,False,False,True,ECO01431,False
False,False,False,False,False,False,True,ECO01432,False
False,False,False,False,False,False,True,ECO01438,False
False,False,False,False,False,False,True,ECO01440,False
False,False,False,False,False,False,True,ECO01441,False
False,False,False,False,False,False,True,ECO01444,False
False,False,False,False,False,False,True,ECO01446,False
False,False,False,False,False,False,True,ECO01447,False
False,False,False,False,False,False,True,ECO01448,False
False,False,False,False,False,False,True,ECO01449,False
False,False,False,False,False,False,True,ECO01450,False
False,False,False,False,False,False,False,ECO01452,True
False,False,False,False,False,False,True,ECO01453,False
False,False,False,False,False,False,True,ECO01454,False
False,False,False,False,False,False,True,ECO01455,False
False,False,False,False,False,False,False,ECO01456,True
False,False,False,False,False,False,True,ECO01459,False
False,False,False,False,False,False,True,ECO01460,False
False,False,False,False,False,False,True,ECO01462,False
False,False,False,False,False,False,True,ECO01464,False
False,False,False,False,False,False,False,ECO01467,True
False,False,False,False,False,False,True,ECO01468,False
False,False,False,False,False,False,True,ECO01470,False
False,False,False,False,False,False,True,ECO01472,False
False,False,False,False,False,False,True,ECO01473,False
False,False,False,False,False,False,True,ECO01476,False
False,False,False,False,False,False,True,ECO01479,False
False,False,False,False,False,False,True,ECO01480,False
False,False,False,False,False,False,True,ECO01481,False
False,False,False,False,False,False,True,ECO01487,False
False,False,False,False,False,False,True,ECO01490,False
False,False,False,False,False,False,True,ECO01491,False
False,False,False,False,False,False,True,ECO01492,False
False,False,False,False,False,False,True,ECO01493,False
