	#x	Wavelength	A_lambda/E(B-V)
108	3.008423586	3324	4.939304858
109	3.005710851	3327	4.934128808
110	3.003003003	3330	4.928962084
111	3.00030003	3333	4.923804661
112	2.997601918	3336	4.918656514
113	2.994908655	3339	4.913517617
114	2.992220227	3342	4.908387947
115	2.989536622	3345	4.903267478
116	2.986857826	3348	4.898156186
117	2.984183826	3351	4.893054045
118	2.981514609	3354	4.887961031
119	2.978850164	3357	4.882877121
120	2.976190476	3360	4.877802289
121	2.973535534	3363	4.87273651
122	2.970885324	3366	4.867679762
123	2.968239834	3369	4.86263202
124	2.965599051	3372	4.857593259
125	2.962962963	3375	4.852563456
126	2.960331557	3378	4.847542587
127	2.957704821	3381	4.842530628
128	2.955082742	3384	4.837527556
129	2.952465309	3387	4.832533347
130	2.949852507	3390	4.827547976
131	2.947244327	3393	4.822571422
132	2.944640754	3396	4.81760366
133	2.942041777	3399	4.812644668
134	2.939447384	3402	4.807694421
135	2.936857562	3405	4.802752897
136	2.9342723	3408	4.797820073
137	2.931691586	3411	4.792895927
138	2.929115407	3414	4.787980434
139	2.926543752	3417	4.783073572
140	2.923976608	3420	4.778175319
141	2.921413964	3423	4.773285652
142	2.918855809	3426	4.768404548
143	2.916302129	3429	4.763531985
144	2.913752914	3432	4.75866794
145	2.911208151	3435	4.753812392
146	2.90866783	3438	4.748965317
147	2.906131938	3441	4.744126695
148	2.903600465	3444	4.739296501
149	2.901073397	3447	4.734474716
150	2.898550725	3450	4.729661316
151	2.896032436	3453	4.72485628
152	2.893518519	3456	4.720059587
153	2.891008962	3459	4.715271213
154	2.888503755	3462	4.710491138
155	2.886002886	3465	4.705719341
156	2.883506344	3468	4.700955799
157	2.881014117	3471	4.696200492
158	2.878526195	3474	4.691453397
159	2.876042565	3477	4.686714494
160	2.873563218	3480	4.681983762
161	2.871088142	3483	4.677261179
162	2.868617326	3486	4.672546724
163	2.86615076	3489	4.667840377
164	2.863688431	3492	4.663142117
165	2.861230329	3495	4.658451922
166	2.858776444	3498	4.653769772
167	2.856326764	3501	4.649095646
168	2.853881279	3504	4.644429524
169	2.851439977	3507	4.639771385
170	2.849002849	3510	4.635121209
171	2.846569883	3513	4.630478974
172	2.844141069	3516	4.625844662
173	2.841716397	3519	4.621218251
174	2.839295855	3522	4.616599722
175	2.836879433	3525	4.611989054
176	2.83446712	3528	4.607386228
177	2.832058907	3531	4.602791223
178	2.829654782	3534	4.598204019
179	2.827254736	3537	4.593624596
180	2.824858757	3540	4.589052936
181	2.822466836	3543	4.584489017
182	2.820078962	3546	4.579932821
183	2.817695125	3549	4.575384327
184	2.815315315	3552	4.570843517
185	2.812939522	3555	4.566310371
186	2.810567735	3558	4.561784869
187	2.808199944	3561	4.557266992
188	2.805836139	3564	4.552756721
189	2.803476311	3567	4.548254036
190	2.801120448	3570	4.54375892
191	2.798768542	3573	4.539271351
192	2.796420582	3576	4.534791312
193	2.794076558	3579	4.530318784
194	2.79173646	3582	4.525853747
195	2.789400279	3585	4.521396184
196	2.787068004	3588	4.516946074
197	2.784739627	3591	4.5125034
198	2.782415136	3594	4.508068142
199	2.780094523	3597	4.503640283
200	2.777777778	3600	4.499219804
201	2.77546489	3603	4.494806686
202	2.773155851	3606	4.490400911
203	2.770850651	3609	4.48600246
204	2.76854928	3612	4.481611316
205	2.766251729	3615	4.47722746
206	2.763957988	3618	4.472850874
207	2.761668048	3621	4.468481541
208	2.759381898	3624	4.464119441
209	2.757099531	3627	4.459764557
210	2.754820937	3630	4.455416872
211	2.752546105	3633	4.451076366
212	2.750275028	3636	4.446743024
213	2.748007694	3639	4.442416826
214	2.745744097	3642	4.438097755
215	2.743484225	3645	4.433785794
216	2.74122807	3648	4.429480925
217	2.738975623	3651	4.42518313
218	2.736726875	3654	4.420892393
219	2.734481816	3657	4.416608695
220	2.732240437	3660	4.41233202
221	2.73000273	3663	4.40806235
222	2.727768685	3666	4.403799668
223	2.725538294	3669	4.399543957
224	2.723311547	3672	4.3952952
225	2.721088435	3675	4.391053379
226	2.718868951	3678	4.386818479
227	2.716653083	3681	4.382590481
228	2.714440825	3684	4.378369369
229	2.712232167	3687	4.374155126
230	2.7100271	3690	4.369947736
231	2.707825616	3693	4.365747181
232	2.705627706	3696	4.361553446
233	2.70343336	3699	4.357366513
234	2.701242572	3702	4.353186365
235	2.699055331	3705	4.349012988
236	2.696871629	3708	4.344846363
237	2.694691458	3711	4.340686475
238	2.692514809	3714	4.336533308
239	2.690341673	3717	4.332386844
240	2.688172043	3720	4.328247069
241	2.686005909	3723	4.324113965
242	2.683843264	3726	4.319987516
243	2.681684098	3729	4.315867707
244	2.679528403	3732	4.311754522
245	2.677376171	3735	4.307647944
246	2.675227394	3738	4.303547958
247	2.673082064	3741	4.299454547
248	2.670940171	3744	4.295367696
249	2.668801708	3747	4.29128739
250	2.666666667	3750	4.287213612
251	2.664535039	3753	4.283146347
252	2.662406816	3756	4.279085579
253	2.66028199	3759	4.275031293
254	2.658160553	3762	4.270983473
255	2.656042497	3765	4.266942104
256	2.653927813	3768	4.26290717
257	2.651816494	3771	4.258878656
258	2.649708532	3774	4.254856546
259	2.647603918	3777	4.250840826
260	2.645502646	3780	4.24683148
261	2.643404705	3783	4.242828494
262	2.64131009	3786	4.238831851
263	2.639218791	3789	4.234841536
264	2.637130802	3792	4.230857536
265	2.635046113	3795	4.226879834
266	2.632964718	3798	4.222908417
267	2.630886609	3801	4.218943268
268	2.628811777	3804	4.214984373
269	2.626740215	3807	4.211031718
270	2.624671916	3810	4.207085288
271	2.622606871	3813	4.203145067
272	2.620545073	3816	4.199211042
273	2.618486515	3819	4.195283198
274	2.616431188	3822	4.191361519
275	2.614379085	3825	4.187445993
276	2.612330199	3828	4.183536603
277	2.610284521	3831	4.179633336
278	2.608242045	3834	4.175736178
