name,econame,mw3w,mw4w,sfr_nuv,sfr_nuv_wisew,sfr_nuv_err,sfr_nuv_wisew_err
"SJUSHR5236","ECO07456",0.00000,0.00000,0.02761284737059703,0.02761284737059703,0.004168362223823423,0.004168362223823423
"SJUSHR5237","ECO07457",10.9677,9.02849,0.1505940617314857,0.1505940617314857,0.1044010927443040,0.1044010927443040
"SJUSHR5238","ECO07458",10.3042,7.80968,0.9693064276752519,1.027985288728683,0.2096208490984721,0.2097083476840310
"SJUSHR5239","ECO07459",11.3995,9.36952,0.5819400794756283,0.5819400794756283,0.2054970859804384,0.2054970859804384
"SJUSHR524","ECO07460",8.65874,7.01033,1.100811909805519,1.267297854846057,0.1552256921174865,0.1553735483373349
"SJUSHR5241","ECO07461",0.00000,0.00000,0.07181498459825765,0.07181498459825765,0.01172732930319648,0.01172732930319648
"SJUSHR5242","ECO07462",11.8848,9.62878,0.2402082886539507,0.2402082886539507,0.01637174653844758,0.01637174653844758
"SJUSHR5243","ECO07463",0.00000,0.00000,0.3915521998625806,0.3915521998625806,0.1499149619541427,0.1499149619541427
"SJUSHR5244","ECO07464",0.00000,0.00000,0.4847017112217840,0.4847017112217840,0.000000000000000,0.000000000000000
"SJUSHR5245","ECO07465",0.00000,0.00000,0.2349191838785526,0.2349191838785526,0.07006007897405281,0.07006007897405281
"SJUSHR5246","ECO07466",0.00000,0.00000,0.3850000981042686,0.3850000981042686,0.1655262931622635,0.1655262931622635
"SJUSHR5247","ECO07467",0.00000,0.00000,0.3005390134945333,0.3005390134945333,0.04329252232485872,0.04329252232485872
"SJUSHR5248","ECO07468",0.00000,0.00000,0.06672672743719366,0.06672672743719366,0.01203338537257518,0.01203338537257518
"SJUSHR5249","ECO07469",0.00000,0.00000,0.1918933428849479,0.1918933428849479,0.06044513087857183,0.06044513087857183
"SJUSHR525","ECO07470",0.00000,0.00000,1.100191389043446,1.100191389043446,0.000000000000000,0.000000000000000
"SJUSHR5250","ECO07471",9.88972,7.37082,0.4638245803738771,0.5300573760044744,0.1111996048146396,0.1114664725626183
"SJUSHR5251","ECO07472",0.00000,0.00000,0.01050389359884516,0.01050389359884516,0.003374442967977706,0.003374442967977706
"SJUSHR5252","ECO07473",0.00000,0.00000,0.03477772297326134,0.03477772297326134,0.02410686100672065,0.02410686100672065
"SJUSHR5253","ECO07474",0.00000,0.00000,0.2362103186440374,0.2362103186440374,0.01620803805315305,0.01620803805315305
"SJUSHR5254","ECO07475",0.00000,0.00000,0.09838076453703790,0.09838076453703790,0.007665771368926062,0.007665771368926062
"SJUSHR5255","ECO07476",0.00000,0.00000,0.4399126134683096,0.4399126134683096,0.2947641911448273,0.2947641911448273
"SJUSHR5256","ECO07477",0.00000,0.00000,0.5817427859583798,0.5817427859583798,0.1243602067860883,0.1243602067860883
"SJUSHR5257","ECO07478",12.6062,9.09165,0.1590866281447182,0.1590866281447182,0.01520919833443855,0.01520919833443855
"SJUSHR5258","ECO07479",0.00000,0.00000,0.9496768839714632,0.9496768839714632,2.109650293200810,2.109650293200810
"SJUSHR5259","ECO07480",0.00000,0.00000,0.3752207281759126,0.3752207281759126,0.05861219084922625,0.05861219084922625
"SJUSHR526","ECO07481",0.00000,0.00000,0.07127203977643698,0.07127203977643698,0.000000000000000,0.000000000000000
"SJUSHR5260","ECO07482",11.3675,8.40338,0.2511393231411577,0.2511393231411577,0.01792634388113458,0.01792634388113458
"SJUSHR5261","ECO07483",0.00000,0.00000,0.1343310102791676,0.1343310102791676,0.04767059798108423,0.04767059798108423
"SJUSHR5262","ECO07484",0.00000,0.00000,0.4281731413908303,0.4281731413908303,0.1847190162459202,0.1847190162459202
"SJUSHR5263","ECO07485",0.00000,0.00000,0.5801873724819228,0.5801873724819228,0.08437731776545444,0.08437731776545444
"SJUSHR5264","ECO07486",0.00000,0.00000,0.3439887321515043,0.3439887321515043,0.02350841787289344,0.02350841787289344
"SJUSHR5265","ECO07487",0.00000,0.00000,0.01256429448130995,0.01256429448130995,0.02243373578671212,0.02243373578671212
"SJUSHR5266","ECO07488",0.00000,0.00000,0.6446738634994791,0.6446738634994791,0.1581792809834925,0.1581792809834925
