# YES:  Extinction Coefficients -- Results
#
# Quantities which were not computable
# are assigned a value of -99
#
#
# Reddening Law  = odonnell_94
# The law has been formulated to give R_V = 3.07 for Vega.
#
#
#Wavelength(A)   A_lambda/tau1  A_lambda/E(B-V)
#
 4911.000        3.28726        3.37217
 4914.000        3.28441        3.36924
 4917.000        3.28155        3.36631
 4920.000        3.27870        3.36338
 4923.000        3.27584        3.36045
 4926.000        3.27299        3.35753
 4929.000        3.27014        3.35460
 4932.000        3.26729        3.35168
 4935.000        3.26444        3.34876
 4938.000        3.26160        3.34584
 4941.000        3.25875        3.34292
 4944.000        3.25591        3.34000
 4947.000        3.25307        3.33709
 4950.000        3.25023        3.33418
 4953.000        3.24739        3.33126
 4956.000        3.24455        3.32835
 4959.000        3.24172        3.32544
 4962.000        3.23888        3.32254
 4965.000        3.23605        3.31963
 4968.000        3.23322        3.31673
 4971.000        3.23039        3.31383
 4974.000        3.22756        3.31093
 4977.000        3.22474        3.30803
 4980.000        3.22192        3.30513
 4983.000        3.21910        3.30224
 4986.000        3.21628        3.29935
 4989.000        3.21346        3.29646
 4992.000        3.21064        3.29357
 4995.000        3.20783        3.29068
 4998.000        3.20502        3.28780
 5001.000        3.20221        3.28492
 5004.000        3.19941        3.28204
 5007.000        3.19660        3.27916
 5010.000        3.19380        3.27629
 5013.000        3.19100        3.27342
 5016.000        3.18820        3.27055
 5019.000        3.18541        3.26768
 5022.000        3.18261        3.26482
 5025.000        3.17982        3.26195
 5028.000        3.17703        3.25909
 5031.000        3.17425        3.25623
 5034.000        3.17147        3.25338
 5037.000        3.16868        3.25053
 5040.000        3.16591        3.24768
 5043.000        3.16313        3.24483
 5046.000        3.16036        3.24198
 5049.000        3.15759        3.23914
 5052.000        3.15482        3.23630
 5055.000        3.15205        3.23347
 5058.000        3.14929        3.23063
 5061.000        3.14653        3.22780
 5064.000        3.14377        3.22497
 5067.000        3.14102        3.22215
 5070.000        3.13827        3.21932
 5073.000        3.13552        3.21650
 5076.000        3.13277        3.21369
 5079.000        3.13003        3.21087
 5082.000        3.12729        3.20806
 5085.000        3.12455        3.20525
 5088.000        3.12182        3.20245
 5091.000        3.11909        3.19965
 5094.000        3.11636        3.19685
 5097.000        3.11363        3.19405
 5100.000        3.11091        3.19126
 5103.000        3.10819        3.18847
 5106.000        3.10547        3.18568
 5109.000        3.10276        3.18290
 5112.000        3.10005        3.18012
 5115.000        3.09734        3.17734
 5118.000        3.09464        3.17457
 5121.000        3.09194        3.17180
 5124.000        3.08924        3.16903
 5127.000        3.08655        3.16627
 5130.000        3.08386        3.16351
 5133.000        3.08117        3.16075
 5136.000        3.07849        3.15800
 5139.000        3.07581        3.15525
 5142.000        3.07313        3.15250
 5145.000        3.07045        3.14976
 5148.000        3.06778        3.14702
 5151.000        3.06512        3.14428
 5154.000        3.06245        3.14155
 5157.000        3.05979        3.13882
 5160.000        3.05714        3.13610
 5163.000        3.05448        3.13338
 5166.000        3.05183        3.13066
