agntosf,ambigagn,composite,defagn,defliner,defseyf,defstarform,galname,sftoagn,sftoagn1,sftoagn2
False,False,False,False,False,False,True,ECO02361,False,False,False
False,False,False,False,False,False,True,ECO02365,False,False,False
False,False,False,False,False,False,True,ECO02367,False,False,False
False,False,False,False,False,False,True,ECO02371,False,False,False
False,False,False,False,False,False,False,ECO02373,True,False,True
False,False,False,False,False,False,True,ECO02375,False,False,False
False,False,False,False,False,False,True,ECO02376,False,False,False
False,False,False,False,False,False,True,ECO02378,False,False,False
False,False,False,False,False,False,True,ECO02383,False,False,False
False,False,False,False,False,False,True,ECO02384,False,False,False
False,False,False,False,False,False,False,ECO02386,True,False,True
False,False,False,False,False,False,True,ECO02387,False,False,False
False,False,False,False,False,False,True,ECO02392,False,False,False
False,False,False,False,False,False,False,ECO02394,True,False,True
False,False,False,False,False,False,True,ECO02395,False,False,False
False,False,False,False,False,False,True,ECO02398,False,False,False
False,False,True,False,False,False,False,ECO02399,False,False,False
False,False,False,False,False,False,True,ECO02406,False,False,False
False,False,False,False,False,False,True,ECO02408,False,False,False
False,False,False,False,False,False,True,ECO02409,False,False,False
False,False,True,False,False,False,False,ECO02410,False,False,False
False,False,False,False,False,False,True,ECO02413,False,False,False
False,False,False,False,False,False,True,ECO02418,False,False,False
False,False,False,False,False,False,True,ECO02424,False,False,False
False,False,False,False,False,False,True,ECO02426,False,False,False
False,False,False,False,False,False,True,ECO02429,False,False,False
False,False,True,False,False,False,False,ECO02430,False,False,False
False,False,False,False,False,False,True,ECO02433,False,False,False
False,False,False,False,False,False,True,ECO02440,False,False,False
False,False,False,False,False,False,True,ECO02443,False,False,False
False,False,False,False,False,False,True,ECO02451,False,False,False
False,False,False,False,False,False,True,ECO02452,False,False,False
False,False,False,True,False,True,False,ECO02455,False,False,False
False,False,False,False,False,False,True,ECO02457,False,False,False
False,False,False,False,False,False,True,ECO02458,False,False,False
False,False,False,False,False,False,True,ECO02459,False,False,False
False,False,False,False,False,False,True,ECO02464,False,False,False
False,False,True,False,False,False,False,ECO02466,False,False,False
False,False,False,False,False,False,True,ECO02467,False,False,False
False,False,False,False,False,False,True,ECO02469,False,False,False
False,False,False,False,False,False,True,ECO02471,False,False,False
False,False,False,False,False,False,True,ECO02476,False,False,False
False,False,False,False,False,False,True,ECO02481,False,False,False
False,False,False,False,False,False,True,ECO02485,False,False,False
False,False,True,False,False,False,False,ECO02488,False,False,False
False,False,False,False,False,False,True,ECO02490,False,False,False
False,False,False,False,False,False,True,ECO02492,False,False,False
False,False,False,False,False,False,True,ECO02495,False,False,False
False,False,False,False,False,False,True,ECO02504,False,False,False
False,False,False,False,False,False,True,ECO02506,False,False,False
False,False,False,False,False,False,True,ECO02511,False,False,False
False,False,False,False,False,False,True,ECO02514,False,False,False
False,False,False,False,False,False,True,ECO02521,False,False,False
False,False,False,False,False,False,True,ECO02525,False,False,False
False,False,False,False,False,False,True,ECO02538,False,False,False
False,False,False,False,False,False,True,ECO02545,False,False,False
False,False,False,False,False,False,True,ECO02548,False,False,False
False,False,False,False,False,False,True,ECO02553,False,False,False
False,False,False,False,False,False,True,ECO02573,False,False,False
False,False,False,False,False,False,True,ECO02574,False,False,False
False,False,False,False,False,False,True,ECO02578,False,False,False
False,False,False,True,False,True,False,ECO02580,False,False,False
False,False,False,False,False,False,True,ECO02585,False,False,False
False,False,False,False,False,False,True,ECO02598,False,False,False
False,False,False,False,False,False,True,ECO02602,False,False,False
False,False,False,False,False,False,True,ECO02608,False,False,False
False,False,False,False,False,False,True,ECO02623,False,False,False
False,False,False,False,False,False,True,ECO02624,False,False,False
False,False,False,False,False,False,True,ECO02629,False,False,False
False,False,False,False,False,False,True,ECO02631,False,False,False
False,False,False,False,False,False,True,ECO02635,False,False,False
False,False,False,False,False,False,True,ECO02638,False,False,False
False,False,False,False,False,False,True,ECO02639,False,False,False
False,False,False,False,False,False,True,ECO02641,False,False,False
False,False,False,False,False,False,True,ECO02644,False,False,False
False,False,False,False,False,False,True,ECO02650,False,False,False
False,False,False,False,False,False,True,ECO02653,False,False,False
False,False,False,False,False,False,True,ECO02658,False,False,False
False,False,False,False,False,False,True,ECO02659,False,False,False
False,False,True,False,False,False,False,ECO02662,False,False,False
False,False,False,False,False,False,True,ECO02663,False,False,False
False,False,False,False,False,False,True,ECO02664,False,False,False
False,False,False,False,False,False,True,ECO02669,False,False,False
False,False,False,False,False,False,True,ECO02680,False,False,False
False,False,False,False,False,False,True,ECO02681,False,False,False
False,False,False,False,False,False,True,ECO02683,False,False,False
False,False,False,False,False,False,True,ECO02684,False,False,False
False,False,False,False,False,False,True,ECO02686,False,False,False
False,False,False,False,False,False,False,ECO02691,True,False,True
False,False,False,False,False,False,True,ECO02693,False,False,False
False,False,False,False,False,False,False,ECO02695,True,False,True
False,False,False,False,False,False,True,ECO02698,False,False,False
False,False,False,False,False,False,True,ECO02701,False,False,False
False,False,False,False,False,False,True,ECO02707,False,False,False
False,False,True,False,False,False,False,ECO02710,False,False,False
False,False,False,False,False,False,True,ECO02711,False,False,False
False,False,False,False,False,False,True,ECO02714,False,False,False
False,False,False,False,False,False,True,ECO02716,False,False,False
False,False,False,False,False,False,True,ECO02719,False,False,False
False,False,False,False,False,False,True,ECO02726,False,False,False
False,False,False,False,False,False,True,ECO02739,False,False,False
False,False,False,False,False,False,True,ECO02741,False,False,False
False,False,False,False,False,False,False,ECO02744,True,True,False
False,False,False,False,False,False,True,ECO02745,False,False,False
False,True,False,True,False,False,False,ECO02755,False,False,False
False,False,False,False,False,False,True,ECO02756,False,False,False
