Wavelength,A_lambda/tau1,Al_Ebv
4740,3.45087,3.54
4743,3.44801,3.53706
4746,3.44514,3.53412
4749,3.44228,3.53119
4752,3.43941,3.52825
4755,3.43655,3.52531
4758,3.43368,3.52236
4761,3.43081,3.51942
4764,3.42794,3.51648
4767,3.42507,3.51354
4770,3.4222,3.51059
4773,3.41933,3.50765
4776,3.41646,3.5047
4779,3.41359,3.50176
4782,3.41072,3.49881
4785,3.40784,3.49586
4788,3.40497,3.49291
4791,3.4021,3.48997
4794,3.39922,3.48702
4797,3.39635,3.48407
4800,3.39347,3.48112
4803,3.3906,3.47817
4806,3.38772,3.47522
4809,3.38485,3.47227
4812,3.38197,3.46932
4815,3.3791,3.46637
4818,3.37622,3.46342
4821,3.37334,3.46047
4824,3.37047,3.45752
4827,3.36759,3.45457
4830,3.36472,3.45162
4833,3.36184,3.44867
4836,3.35897,3.44573
4839,3.35609,3.44278
4842,3.35322,3.43983
4845,3.35035,3.43688
4848,3.34747,3.43393
4851,3.3446,3.43098
4854,3.34172,3.42804
4857,3.33885,3.42509
4860,3.33598,3.42214
4863,3.33311,3.4192
4866,3.33024,3.41625
4869,3.32737,3.41331
4872,3.3245,3.41036
4875,3.32163,3.40742
4878,3.31876,3.40448
4881,3.31589,3.40154
4884,3.31303,3.3986
4887,3.31016,3.39566
4890,3.30729,3.39272
4893,3.30443,3.38978
4896,3.30157,3.38684
4899,3.2987,3.3839
4902,3.29584,3.38097
4905,3.29298,3.37803
4908,3.29012,3.3751
4911,3.28726,3.37217
4914,3.28441,3.36924
4917,3.28155,3.36631
4920,3.2787,3.36338
4923,3.27584,3.36045
4926,3.27299,3.35753
4929,3.27014,3.3546
4932,3.26729,3.35168
4935,3.26444,3.34876
4938,3.2616,3.34584
4941,3.25875,3.34292
4944,3.25591,3.34
4947,3.25307,3.33709
4950,3.25023,3.33418
4953,3.24739,3.33126
4956,3.24455,3.32835
4959,3.24172,3.32544
4962,3.23888,3.32254
4965,3.23605,3.31963
4968,3.23322,3.31673
4971,3.23039,3.31383
4974,3.22756,3.31093
4977,3.22474,3.30803
4980,3.22192,3.30513
