name,bptagn,nontrad,unclassified,composite,sf
ECO02977,False,False,False,False,True
ECO02982,False,False,False,False,True
ECO02984,False,False,False,False,True
ECO02985,False,False,False,False,True
ECO02989,False,False,False,False,True
ECO02990,False,False,False,True,True
ECO02993,False,False,False,True,True
ECO02996,True,False,False,False,True
ECO02997,True,False,False,False,True
ECO03015,False,False,False,False,True
ECO03016,False,False,False,False,True
ECO03021,True,False,True,False,False
ECO03033,True,False,True,True,False
ECO03034,False,False,False,True,True
ECO03035,False,False,False,False,True
ECO03045,False,False,False,True,True
ECO03048,False,False,False,True,True
ECO03049,False,False,False,False,True
ECO03052,True,False,False,False,True
ECO03054,True,False,False,False,True
ECO03056,False,False,False,False,True
ECO03057,False,False,False,False,True
ECO03070,False,False,False,False,True
ECO03071,False,False,False,False,True
ECO03072,False,False,False,False,True
ECO03077,False,False,False,False,True
ECO03080,False,False,False,False,True
ECO03085,False,False,False,False,True
ECO03086,False,False,False,False,True
ECO03090,False,False,False,True,True
ECO03095,False,False,False,True,True
ECO03096,False,False,False,False,True
ECO03097,False,False,False,False,True
ECO03098,False,True,False,False,True
ECO03099,False,False,False,False,True
ECO03103,False,True,False,False,True
ECO03105,False,False,False,True,True
ECO03106,False,False,False,True,True
ECO03107,False,False,False,False,True
ECO03112,False,False,False,False,True
ECO03113,False,False,False,False,True
ECO03115,False,True,False,False,True
ECO03117,False,False,False,False,True
ECO03118,False,False,False,False,True
ECO03124,False,False,False,False,True
ECO03126,False,False,False,False,True
ECO03129,False,False,False,True,True
ECO03130,False,False,False,True,True
ECO03132,False,False,False,True,True
ECO03133,False,False,False,False,True
ECO03135,False,False,True,True,False
ECO03137,True,False,True,True,False
ECO03138,True,False,False,False,True
ECO03139,False,False,False,True,True
ECO03141,False,False,False,True,True
ECO03143,False,False,False,False,True
ECO03145,False,False,False,False,True
ECO03149,False,False,False,False,True
ECO03152,False,False,False,False,True
ECO03156,False,False,False,False,True
ECO03157,True,False,False,False,True
ECO03159,False,False,False,True,True
ECO03160,False,False,False,True,True
ECO03162,False,False,False,True,True
ECO03163,False,False,False,False,True
ECO03169,False,False,False,False,True
ECO03171,False,False,False,False,True
ECO03172,False,False,False,False,True
ECO03173,False,False,False,False,True
ECO03174,False,False,False,False,True
ECO03176,False,False,False,True,True
ECO03179,False,False,False,True,True
ECO03180,False,False,False,False,True
ECO03181,False,False,False,False,True
ECO03183,False,False,False,False,True
ECO03187,False,False,False,False,True
ECO03188,False,False,False,False,True
ECO03189,False,False,False,False,True
ECO03193,False,False,False,False,True
ECO03194,False,False,False,False,True
ECO03196,False,False,False,False,True
ECO03198,False,False,False,False,True
ECO03200,False,False,True,True,False
ECO03201,False,False,False,True,True
ECO03203,True,False,False,False,True
ECO03204,True,False,True,True,False
ECO03205,False,False,False,True,True
ECO03206,False,False,False,False,True
ECO03208,False,False,False,True,True
ECO03210,False,False,False,True,True
ECO03211,False,False,False,False,True
ECO03212,True,False,False,False,True
ECO03213,False,False,False,True,True
ECO03216,False,False,False,False,True
ECO03221,False,False,False,False,True
ECO03222,False,False,False,False,True
ECO03223,False,False,False,False,True
ECO03224,False,False,False,False,True
ECO03225,False,False,False,False,True
ECO03226,False,False,False,False,True
ECO03227,False,False,False,False,True
ECO03230,False,False,False,False,True
ECO03232,False,True,False,False,True
ECO03235,False,False,False,False,True
ECO03236,False,False,False,False,True
ECO03240,False,False,False,True,True
ECO03241,False,False,False,True,True
ECO03242,False,False,False,False,True
ECO03243,False,False,False,False,True
ECO03244,False,False,False,False,True
ECO03254,False,False,False,False,True
ECO03257,False,False,False,False,True
ECO03259,True,False,False,False,True
ECO03260,True,False,False,False,True
ECO03262,False,False,False,False,True
ECO03264,False,False,False,False,True
ECO03270,False,False,False,True,True
ECO03272,False,False,False,False,True
ECO03273,False,False,False,False,True
ECO03274,False,False,False,False,True
ECO03279,False,False,False,False,True
ECO03280,False,False,False,False,True
ECO03281,False,False,False,False,True
ECO03282,False,False,False,False,True
ECO03284,False,False,False,True,True
ECO03286,False,False,True,True,False
ECO03289,False,False,False,True,True
ECO03291,False,False,False,False,True
ECO03292,False,False,False,False,True
ECO03294,False,False,False,True,True
ECO03295,False,False,False,False,True
ECO03299,False,False,False,False,True
ECO03303,False,False,False,False,True
ECO03307,False,False,False,True,True
ECO03312,False,False,False,False,True
ECO03313,False,False,False,False,True
ECO03317,False,False,True,True,False
ECO03319,False,False,False,False,True
ECO03325,False,False,False,True,True
ECO03330,False,False,False,True,True
ECO03340,False,False,False,False,True
ECO03347,False,False,False,True,True
ECO03348,False,False,False,False,True
ECO03349,False,False,False,False,True
ECO03353,False,False,False,True,True
ECO03354,False,False,False,False,True
ECO03355,False,False,False,False,True
ECO03361,False,False,False,False,True
ECO03362,False,False,False,True,True
ECO03364,False,False,False,False,True
ECO03367,False,False,False,True,True
ECO03370,False,False,False,False,True
ECO03373,False,False,False,True,True
ECO03375,False,False,False,False,True
ECO03379,False,False,False,True,True
ECO03387,False,False,False,False,True
ECO03389,False,False,False,False,True
ECO03390,False,False,False,True,True
ECO03391,False,False,False,True,True
ECO03395,False,False,False,True,True
ECO03396,False,False,False,True,True
ECO03398,False,False,False,False,True
ECO03404,False,False,False,True,True
ECO03406,True,False,False,False,True
ECO03407,False,False,True,True,False
ECO03410,True,False,True,True,False
ECO03411,False,False,False,True,True
ECO03413,False,False,False,True,True
ECO03416,False,False,False,True,True
ECO03419,False,False,False,False,True
ECO03422,False,False,True,True,False
ECO03425,False,False,False,False,True
ECO03429,False,False,False,True,True
ECO03430,False,False,False,False,True
ECO03439,False,False,False,False,True
ECO03441,False,False,False,False,True
ECO03447,False,False,False,False,True
ECO03453,False,False,False,True,True
ECO03456,False,False,False,False,True
ECO03457,False,False,True,True,False
