galname,defstarform,composite,defseyf,defliner,ambigagn,sftoagn,agntosf,defagn,sftoagn1,sftoagn2
ECO02729,False,True,False,False,False,False,False,False,False,False
ECO02733,True,False,False,False,False,False,False,False,False,False
ECO02741,True,False,False,False,False,False,False,False,False,False
ECO02744,False,False,False,False,False,True,False,False,True,False
ECO02745,True,False,False,False,False,False,False,False,False,False
ECO02746,True,False,False,False,False,False,False,False,False,False
ECO02749,True,False,False,False,False,False,False,False,False,False
ECO02755,False,False,False,False,True,False,False,True,False,False
ECO02763,True,False,False,False,False,False,False,False,False,False
ECO02771,False,True,False,False,False,False,False,False,False,False
ECO02777,True,False,False,False,False,False,False,False,False,False
ECO02778,False,False,False,True,False,False,False,True,False,False
ECO02779,True,False,False,False,False,False,False,False,False,False
ECO02781,True,False,False,False,False,False,False,False,False,False
ECO02788,True,False,False,False,False,False,False,False,False,False
ECO02789,True,False,False,False,False,False,False,False,False,False
ECO02790,True,False,False,False,False,False,False,False,False,False
ECO02792,True,False,False,False,False,False,False,False,False,False
ECO02796,True,False,False,False,False,False,False,False,False,False
ECO02801,True,False,False,False,False,False,False,False,False,False
ECO02804,True,False,False,False,False,False,False,False,False,False
ECO02805,True,False,False,False,False,False,False,False,False,False
ECO02806,False,True,False,False,False,False,False,False,False,False
ECO02810,True,False,False,False,False,False,False,False,False,False
ECO02814,True,False,False,False,False,False,False,False,False,False
ECO02815,False,True,False,False,False,False,False,False,False,False
ECO02818,True,False,False,False,False,False,False,False,False,False
ECO02819,True,False,False,False,False,False,False,False,False,False
ECO02821,True,False,False,False,False,False,False,False,False,False
ECO02822,True,False,False,False,False,False,False,False,False,False
ECO02833,False,False,False,False,False,True,False,False,False,True
ECO02834,True,False,False,False,False,False,False,False,False,False
ECO02837,True,False,False,False,False,False,False,False,False,False
ECO02840,True,False,False,False,False,False,False,False,False,False
ECO02843,True,False,False,False,False,False,False,False,False,False
ECO02844,True,False,False,False,False,False,False,False,False,False
ECO02845,True,False,False,False,False,False,False,False,False,False
ECO02846,True,False,False,False,False,False,False,False,False,False
ECO02847,True,False,False,False,False,False,False,False,False,False
ECO02848,True,False,False,False,False,False,False,False,False,False
ECO02853,True,False,False,False,False,False,False,False,False,False
ECO02859,True,False,False,False,False,False,False,False,False,False
ECO02872,True,False,False,False,False,False,False,False,False,False
ECO02876,False,False,False,False,False,True,False,False,False,True
ECO02878,True,False,False,False,False,False,False,False,False,False
ECO02881,True,False,False,False,False,False,False,False,False,False
ECO02882,False,False,False,False,False,True,False,False,False,True
ECO02884,False,True,False,False,False,False,False,False,False,False
ECO02885,True,False,False,False,False,False,False,False,False,False
ECO02887,True,False,False,False,False,False,False,False,False,False
ECO02888,True,False,False,False,False,False,False,False,False,False
ECO02889,True,False,False,False,False,False,False,False,False,False
ECO02890,False,False,False,False,False,True,False,False,False,True
ECO02891,True,False,False,False,False,False,False,False,False,False
ECO02900,True,False,False,False,False,False,False,False,False,False
ECO02905,False,False,False,True,False,False,False,True,False,False
ECO02911,True,False,False,False,False,False,False,False,False,False
ECO02918,True,False,False,False,False,False,False,False,False,False
ECO02922,False,True,False,False,False,False,False,False,False,False
ECO02923,False,False,True,False,False,False,False,True,False,False
ECO02924,True,False,False,False,False,False,False,False,False,False
ECO02926,False,False,False,True,False,False,False,True,False,False
ECO02928,True,False,False,False,False,False,False,False,False,False
