#ID SDSSID RA DEG z Plate MJD Fiber nspec
  262 J011508.48+465722.9  18.785344    46.956352     0.22215    1472 52913 624 1
  263 J011615.24+144646.7  19.063518    14.779633     0.179441    423 51821 463 1
  264 J011645.01+152531.0  19.187537    15.425286     0.117026    423 51821 525 1
  265 J011703.58+000027.4  19.264929     0.0076054975 0.0455578   397 51794  38 1
  266 J011721.81+151219.0  19.340871    15.205288     0.247716    423 51821 503 1
  267 J011727.48+000045.8  19.364501     0.01272723   0.245941    398 51789 560 1
  268 J011749.81-100114.6  19.457555   -10.020713     0.140976    660 52177 142 1
  269 J011804.83+143158.7  19.520143    14.532961     0.128691    424 51893 310 1
  270 J011807.99+150513.0  19.533281    15.086935     0.325259    423 51821 551 1
  271 J011845.54+133327.2  19.689757    13.557561     0.188855    423 51821   8 1
  272 J011902.59-004239.0  19.760788    -0.7108353    0.215888    398 51789 179 2
  273 J011911.44-104531.5  19.797682   -10.758737     0.12531     660 52177 100 1
  274 J011918.61-084633.8  19.827526    -8.7760426    0.257607    660 52177 571 1
  275 J011929.06-000839.7  19.871094    -0.14435809   0.0899924   398 51789 142 1
  276 J011932.87+000837.2  19.88696      0.14366504   0.180464    398 51789 594 1
  277 J011946.75+135649.1  19.944799    13.946979     0.258123    424 51893 274 1
  278 J012013.54+143858.0  20.056408    14.649457     0.127711    423 51821  25 1
  279 J012015.13-005838.7  20.063056    -0.97740297   0.202554    398 51789  55 1
  280 J012046.12+154239.6  20.192151    15.711005     0.24294     424 51893 329 1
  281 J012047.54-082629.5  20.198076    -8.4415256    0.229731    661 52163 340 1
  282 J012050.94-001833.0  20.212241    -0.30915758   0.349208    398 51789  35 1
  283 J012058.24-000709.1  20.242662    -0.11920517   0.165905    399 51817 317 1
  284 J012108.17+150011.5  20.284054    15.003204     0.054367    424 51893 469 1
  285 J012128.09+003450.6  20.367049     0.58072852   0.328869    399 51817 360 1
  286 J012144.73-095653.5  20.436356    -9.9481925    0.344776    660 52177  21 1
  287 J012150.64-100510.1  20.460992   -10.086138     0.103278    661 52163 229 1
  288 J012159.82-010224.4  20.499255    -1.0400985    0.0542338   398 51789  10 1
  289 J012202.99-004450.5  20.51245     -0.7473496    0.209232    399 51817 297 1
  290 J012206.67-003043.9  20.527802    -0.51219079   0.216722    399 51817 261 1
  291 J012212.27-005316.8  20.55112     -0.88801217   0.0927969   399 51817 284 1
  292 J012214.56+150551.3  20.560666    15.097589     0.29743     424 51893 490 1
  293 J012219.98+141805.1  20.58325     14.301404     0.275594    424 51893 183 1
  294 J012254.64+010106.7  20.727647     1.0185356    0.199776    399 51817 325 1
  295 J012256.19-000252.6  20.734137    -0.04794548   0.340495    399 51817 238 1
  296 J012334.50-102319.9  20.893766   -10.388851     0.316909    661 52163 132 1
  297 J012406.47+151243.2  21.026951    15.211988     0.162979    424 51893 451 1
